Industry,Year-Month,Value,percentage change
Manufacturing,2016-06,12350.0,0.14596172559195875
Manufacturing,2016-07,12372.0,0.17813765182186359
Manufacturing,2016-08,12348.0,-0.19398642095053154
Manufacturing,2016-09,12347.0,-0.00809847748622916
Manufacturing,2016-10,12345.0,-0.01619826678544989
Manufacturing,2016-11,12342.0,-0.02430133657350675
Manufacturing,2016-12,12355.0,0.10533138875383763
Manufacturing,2017-01,12366.0,0.08903278025091943
Manufacturing,2017-02,12380.0,0.11321365033154507
Manufacturing,2017-03,12393.0,0.10500807754443287
Manufacturing,2017-04,12400.0,0.05648349874929348
Manufacturing,2017-05,12409.0,0.07258064516129092
Manufacturing,2017-06,12422.0,0.1047626722540107
Manufacturing,2017-07,12423.0,0.00805023345678002
Manufacturing,2017-08,12467.0,0.3541817596393715
Manufacturing,2017-09,12477.0,0.0802117590438689
Manufacturing,2017-10,12490.0,0.10419171275146688
Manufacturing,2017-11,12505.0,0.12009607686149781
Manufacturing,2017-12,12533.0,0.2239104358256805
Manufacturing,2018-01,12561.0,0.22341019707969867
Manufacturing,2018-02,12584.0,0.18310644057002445
Manufacturing,2018-03,12610.0,0.20661157024792765
Manufacturing,2018-04,12631.0,0.16653449643140306
Manufacturing,2018-05,12657.0,0.20584276779351818
Manufacturing,2018-06,12691.0,0.2686260567275056
Manufacturing,2018-07,12711.0,0.15759199432667792
Manufacturing,2018-08,12725.0,0.11014082290929927
Manufacturing,2018-09,12744.0,0.14931237721020896
Manufacturing,2018-10,12767.0,0.18047708725674738
Manufacturing,2018-11,12777.0,0.07832693663349932
Manufacturing,2018-12,12796.0,0.14870470376457945
Manufacturing,2019-01,12828.0,0.25007814942168416
Manufacturing,2019-02,12818.0,-0.0779544745868388
Manufacturing,2019-03,12825.0,0.05461070369792154
Manufacturing,2019-04,12822.0,-0.023391812865491968
Manufacturing,2019-05,12818.0,-0.03119638121977797
Manufacturing,2019-06,12824.0,0.046809174598227976
Manufacturing,2019-07,12827.0,0.023393636930757467
Manufacturing,2019-08,12826.0,-0.007796055196074292
Manufacturing,2019-09,12825.0,-0.00779666302822557
Manufacturing,2019-10,12771.0,-0.42105263157894424
Manufacturing,2019-11,12816.0,0.35236081747709314
Manufacturing,2019-12,12798.0,-0.1404494382022503
Manufacturing,2020-01,12785.0,-0.10157837162056982
Manufacturing,2020-02,12780.0,-0.03910833007431114
Manufacturing,2020-03,12721.0,-0.46165884194052653
Manufacturing,2020-04,11419.0,-10.235044414747263
Manufacturing,2020-05,11652.0,2.04045888431561
Manufacturing,2020-06,11982.0,2.8321318228630377
Manufacturing,2020-07,12019.0,0.30879652812552116
Manufacturing,2020-08,12047.0,0.2329644729178737
Manufacturing,2020-09,12102.0,0.45654519797460047
Manufacturing,2020-10,12124.0,0.18178813419269524
Manufacturing,2020-11,12154.0,0.24744308808974935
Manufacturing,2020-12,12194.0,0.32910975810431786
Manufacturing,2021-01,12188.0,-0.04920452681647092
Manufacturing,2021-02,12217.0,0.2379389563505141
Manufacturing,2021-03,12272.0,0.45019235491527976
Manufacturing,2021-04,12232.0,-0.32594524119947677
Manufacturing,2021-05,12264.0,0.2616088947024142
Manufacturing,2021-06,12285.0,0.1712328767123239
Manufacturing,2021-07,12353.0,0.553520553520559
Manufacturing,2021-08,12401.0,0.3885695782400944
Manufacturing,2021-09,12439.0,0.30642690105635584
Manufacturing,2021-10,12497.0,0.4662754240694511
Manufacturing,2021-11,12534.0,0.29607105705369285
Manufacturing,2021-12,12575.0,0.3271102600925557
Manufacturing,2022-01,12602.0,0.21471172962226337
Manufacturing,2022-02,12649.0,0.3729566735438894
Manufacturing,2022-03,12717.0,0.5375919044983801
Manufacturing,2022-04,12768.0,0.4010379806558051
Manufacturing,2022-05,12787.0,0.14880952380953438
Manufacturing,2022-06,12817.0,0.23461327911160623
Manufacturing,2022-07,12852.0,0.2730748225013624
Manufacturing,2022-08,12882.0,0.23342670401493848
Manufacturing,2022-09,12899.0,0.13196708585623274
Manufacturing,2022-10,12930.0,0.24032870765176018
Manufacturing,2022-11,12935.0,0.03866976024748947
Manufacturing,2022-12,12934.0,-0.00773096250483718
Manufacturing,2023-01,12942.0,0.06185248183083747
Manufacturing,2023-02,12940.0,-0.015453562046052749
Manufacturing,2023-03,12932.0,-0.061823802163829544
Manufacturing,2023-04,12941.0,0.0695948035879912
Manufacturing,2023-05,12936.0,-0.03863689050305208
Manufacturing,2023-06,12945.0,0.06957328385899242
Manufacturing,2023-07,12939.0,-0.04634994206257348
Manufacturing,2023-08,12941.0,0.015457145065300715
Manufacturing,2023-09,12954.0,0.10045591530793985
Manufacturing,2023-10,12923.0,-0.23930832175389494
Manufacturing,2023-11,12948.0,0.1934535324614961
Manufacturing,2023-12,12960.0,0.0926784059314123
Mining and logging,2014-01,871.0,
Mining and logging,2014-02,875.0,0.4592422502870175
Mining and logging,2014-03,879.0,0.45714285714286707
Mining and logging,2014-04,885.0,0.6825938566553003
Mining and logging,2014-05,886.0,0.1129943502824915
Mining and logging,2014-06,891.0,0.5643340857787837
Mining and logging,2014-07,897.0,0.6734006734006703
Mining and logging,2014-08,898.0,0.11148272017837968
Mining and logging,2014-09,903.0,0.556792873051215
Mining and logging,2014-10,901.0,-0.22148394241418012
Mining and logging,2014-11,900.0,-0.11098779134295356
Mining and logging,2014-12,896.0,-0.4444444444444473
Mining and logging,2015-01,887.0,-1.0044642857142905
Mining and logging,2015-02,875.0,-1.3528748590755368
Mining and logging,2015-03,859.0,-1.8285714285714239
Mining and logging,2015-04,843.0,-1.8626309662398088
Mining and logging,2015-05,821.0,-2.60972716488731
Mining and logging,2015-06,817.0,-0.487210718635811
Mining and logging,2015-07,806.0,-1.346389228886169
Mining and logging,2015-08,794.0,-1.488833746898266
Mining and logging,2015-09,779.0,-1.8891687657430767
Mining and logging,2015-10,771.0,-1.0269576379974277
Mining and logging,2015-11,756.0,-1.945525291828798
Mining and logging,2015-12,746.0,-1.3227513227513255
Mining and logging,2016-01,732.0,-1.8766756032171594
Mining and logging,2016-02,711.0,-2.868852459016391
Mining and logging,2016-03,691.0,-2.812939521800284
Mining and logging,2016-04,677.0,-2.026049204052094
Mining and logging,2016-05,666.0,-1.6248153618906969
Mining and logging,2016-06,657.0,-1.3513513513513487
Mining and logging,2016-07,651.0,-0.91324200913242
Mining and logging,2016-08,647.0,-0.6144393241167445
Mining and logging,2016-09,645.0,-0.3091190108191699
Mining and logging,2016-10,644.0,-0.15503875968991832
Mining and logging,2016-11,647.0,0.46583850931676274
Mining and logging,2016-12,648.0,0.15455950540959051
Mining and logging,2017-01,648.0,0.0
Mining and logging,2017-02,655.0,1.0802469135802406
Mining and logging,2017-03,659.0,0.6106870229007688
Mining and logging,2017-04,669.0,1.5174506828528056
Mining and logging,2017-05,675.0,0.8968609865470878
Mining and logging,2017-06,679.0,0.592592592592589
Mining and logging,2017-07,681.0,0.2945508100147265
Mining and logging,2017-08,685.0,0.5873715124816492
Mining and logging,2017-09,687.0,0.29197080291971655
Mining and logging,2017-10,688.0,0.14556040756914523
Mining and logging,2017-11,693.0,0.7267441860465018
Mining and logging,2017-12,693.0,0.0
Mining and logging,2018-01,700.0,1.0101010101010166
Mining and logging,2018-02,706.0,0.8571428571428674
